number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
168,4131c2e5-cae1-4deb-ad14-6cd979ef9602,603,603,---,7,---,---,---,---,2016-07-20,11:00:00.000Z,5.57746683 -0.21291675 35.0 5.0,603,WRI 0,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,1,9999,0,---,"Swabbed latrine walls and door handle. 
Toilet clogged and overflowing with feacal matter.",BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-fb2327fd92385944353bec841a90fd11,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-07-20 11:02:28,2016-07-20 10:59:32,bnbboye,2016-07-21 08:20:00,---,---
169,2f50263d-9008-465a-aa28-e36e504dd362,409,409,---,2,---,---,---,---,2016-06-22,09:49:00.000Z,5.55581467 -0.18693249 50.0 5.0,409,WRI 2,Ringway,---,---,Pepper,10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-9b659e1e019c568ca8d143f6b1016f54,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-22 09:50:09,2016-06-22 09:48:37,rkuddy,2016-06-22 09:51:57,---,---
170,310aab30-39d0-4bd3-9efa-e496f986efd2,218,218,---,1,S,---,---,13,2016-05-17,10:43:00.000Z,5.52895109 -0.24164341 42.0 4.0,13,WRI 15,Chorkor,---,---,---,---,1,1,1,1,0,0,0,0,1,4,0,0,1,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain containing trash,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-db93b4db745a7e7ef2b1e3abbec50b32,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-17 10:44:40,2016-05-17 10:42:18,mchrisk,2016-05-17 11:32:01,---,---
171,59e793d2-4c6e-402a-b6e7-02f5a0ca9f9d,448,448,---,1,S,---,---,19,2016-06-28,13:00:00.000Z,5.5630819 -0.19017249 75.0 5.0,448,WRI 0,Ringway,---,---,---,---,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Drain filled with leaf litter, exact sampling inaccessible","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-674872f5d6fd0be8e04713bc8488eea9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-28 13:04:57,2016-06-28 12:59:34,mchrisk,2016-06-28 13:05:06,---,---
172,5aba8422-d400-4abd-bf26-53b004a2e1f4,591,591,---,7,---,---,---,---,2016-07-20,10:37:00.000Z,5.57781263 -0.21160124 46.0 5.0,591,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,15,0,---,Latrine floor swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-8b882060eac7e369b9f9b0f96afc2f0a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 10:39:47,2016-07-20 10:37:03,rkuddy,2016-07-21 14:15:02,---,---
173,605d39da-5ed8-4efd-8724-8e8c49cf9818,497,497,---,8,---,---,---,---,2016-07-05,12:44:00.000Z,5.57555876 -0.20468179 42.0 5.0,497,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,40,School field sampled,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-c6550303989760186efa18819f3534d6,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 12:45:31,2016-07-05 12:44:09,rkuddy,2016-07-05 12:47:28,---,---
174,627d1320-22b5-437d-9980-8db6834e861a,252,252,---,1,S,---,---,7,2016-05-20,10:59:00.000Z,5.52655194 -0.24044236 71.0 5.0,252,WRI 2,Chorkor,---,---,---,---,1,1,3,4,0,0,1,0,1,3,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,drain filled with trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-ea28e8bc780179bba327919e96f9e727,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-20 22:00:54,2016-05-20 21:58:47,rkuddy,2016-05-20 11:01:30,---,---
175,5dde68a4-71dc-4452-8f3c-926e8a35a0b7,712,712,---,7,---,---,---,---,2016-04-26,11:07:00.000Z,5.52722952 -0.24362302 37.0 3.0,818,WRI 3,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,1,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-afbed1a032867e2eda09ea5dee4e2548,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-26 10:18:11,2016-04-26 10:06:42,cafrimpong,2016-04-26 10:18:16,---,---
176,5bea7fb8-f4ec-4bde-bbc0-3ed1e1b5b8e6,631,631,---,7,---,---,---,---,2016-07-21,10:43:00.000Z,5.57557533 -0.21314147 60.0 5.0,631,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,15,0,---,Latrine door handle swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-ba0fae8a458340eea48cd772e88c06e9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-21 10:44:46,2016-07-21 10:42:52,rkuddy,2016-07-21 14:16:30,---,---
177,7c65b186-b226-417e-babb-24c512a41131,197,197,---,7,---,---,---,---,2016-05-10,10:29:00.000Z,5.52814817 -0.24547049 35.0 4.0,197,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,public latrine floor,1,---,10,10,9999,0,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-426405ce94c7528f6f47ad8a78719e77,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-10 21:31:20,2016-05-10 21:29:28,rkuddy,2016-05-10 10:31:57,---,---
178,7b8f557b-8e82-4a9b-9062-3cfbb22c5fc6,192,192,---,7,---,---,---,---,2016-05-10,09:51:00.000Z,5.53089343 -0.24107601 46.0 4.0,192,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,public latrine stall wall,6,---,12,12,9999,1,---,Mixed flush and KVIP,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-a53a7c442e6f32daa7afa4e85ef11ced,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-10 20:54:21,2016-05-10 20:51:39,rkuddy,2016-05-10 09:54:58,---,---
179,7fd1f4b3-ac6a-4872-8b90-29c75889f96b,814,814,---,8,---,---,---,---,2016-03-30,11:43:00.000Z,5.52993146 -0.2596744 32.0 4.0,29,Sp09,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,NA,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-211bfc953f04d393abae91a3df65298e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/a54adb3da96f113565759acec839ac73/,sp-accra,2016-03-30 11:44:36,2016-03-30 11:42:37,test,2016-04-20 08:13:28,---,---
180,7159f25d-6c15-4935-ad2c-1cff9d1f142b,846,846,---,4,---,---,---,---,2016-03-29,10:29:00.000Z,5.522884 -0.25459709 19.0 5.0,2,spigen,Shiabu,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"MC,BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-8660e37afcd2341200336f5e7e215296,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-29 10:30:46,2016-03-29 10:28:51,test,2016-06-03 16:49:02,---,---
181,7046c3d7-361f-4cd9-8f0e-f73688833feb,238,238,---,1,S,---,---,28,2016-05-17,10:47:00.000Z,5.53153793 -0.24010368 41.0 4.0,238,WRI 2,Chorkor,---,---,---,---,1,1,1,1,0,0,0,0,1,3,1,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Drain filled with sand,stones and trash","BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-6586fe4d1b45a80b00dd14430f507202,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-17 21:50:34,2016-05-17 21:47:41,rkuddy,2016-05-17 10:51:13,---,---
182,76de85a7-458f-424a-87ba-9a6cc46421ab,869,869,---,3,---,---,---,---,2016-03-22,11:33:00.000Z,5.52515995 -0.25454857 14.0 5.0,0,NA,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.03,0.08,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Sampling site is 2m from public drain water,"Bert Boi, Mario, Christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-759bd3b942dd1a037462c934c7d0a636,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-22 11:38:04,2016-03-22 11:31:27,test,2016-03-23 08:50:01,---,---
183,849cf601-5cbd-4018-91a5-7ee6073f3a2b,609,609,---,7,---,---,---,---,2016-07-21,10:36:00.000Z,5.57596403 -0.21247809 47.0 11.0,609,WRI 0,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,1,9999,0,---,Swabbed toilet seat.,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-3ed94ec79c35e124f9d266c950fc0c0b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-07-21 10:38:24,2016-07-21 10:35:40,bnbboye,2016-07-21 14:17:54,---,---
184,82f8ea66-ea13-46b3-aa12-e3562af76c82,219,219,---,1,S,---,---,19,2016-05-17,10:53:00.000Z,5.529585 -0.24207042 40.0 6.0,19,WRI 15,Chorkor,---,---,---,---,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Food vendors and drinking spot within 3m of open drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-e6b79537ed926bdc3de067bbb8747b82,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-17 10:56:58,2016-05-17 10:51:57,mchrisk,2016-05-17 11:32:04,---,---
185,831849e7-bf83-4e6b-b55a-a6a530764373,518,518,---,3,---,---,---,---,2016-07-04,12:36:00.000Z,5.57596718 -0.21195958 59.0 4.0,518,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.05,0.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-1a8e165c892ead9ff5f5ea2176ffaa7b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 12:41:09,2016-07-04 12:35:58,rkuddy,2016-07-04 12:43:05,---,---
186,85074edd-bd92-4b38-8ac9-4d12b43b48fb,856,856,---,1,P,1,---,---,2016-03-30,09:21:00.000Z,5.52874954 -0.25485841 23.0 5.0,856,Garmin,Shiabu,---,---,---,---,1,1,1,1,0,0,0,0,1,3,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"MC, BNBB,CKAF,RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-116d251beb4d94472643a66cbc51eeb4,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-30 09:25:36,2016-03-30 09:16:37,test,2016-06-03 16:50:24,---,---
187,88184c14-67cf-4bc7-8b01-07a5dfffadd3,829,829,---,2,---,---,---,---,2016-03-23,10:04:00.000Z,5.53263803 -0.25514517 35.0 5.0,0,NA,Shiabu,---,---,cucumber,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"mario,  bert boi, christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-34c367f701e604a20682d37340eb0733,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-23 10:05:54,2016-03-23 10:04:42,test,2016-03-23 10:05:58,---,---
188,86c76f9c-c708-4f1c-a4e3-a90cdb970faf,438,438,---,1,T,---,4,---,2016-06-29,10:51:00.000Z,5.56231278 -0.1942977 70.0 5.0,24,WRI4,Ringway,---,---,---,---,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"BNBB, CFK, MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-07be2e12e728270778a45ec5d9037442,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-29 10:54:32,2016-06-29 10:50:25,mchrisk,2016-06-29 10:54:41,---,---
189,86cbd208-2f15-4153-9b51-5ffda03cdc24,564,564,---,7,---,---,---,---,2016-07-20,12:07:00.000Z,5.57751846 -0.2138799 52.0 14.0,564,WRI 4,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,10,0,---,No soap at handwashing station,MC,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-32d5396e77b641ee0bfa9922208699c7,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 11:13:14,2016-07-20 11:01:50,mchrisk,2016-07-21 14:12:10,---,---
190,86f51739-89e0-4a47-b2f5-1b04555fbbc5,827,827,---,2,---,---,---,---,2016-03-23,09:56:00.000Z,5.53248589 -0.25647608 48.0 5.0,0,NA,Shiabu,---,---,pepper(red),19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"mario, bert boi, christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-6c388a975f44b534608193a9401a7511,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-23 09:58:18,2016-03-23 09:56:25,test,2016-03-23 09:58:21,---,---
191,942a9076-5177-4e4c-b486-31fd8c88c601,897,897,---,7,---,---,---,---,2016-03-31,10:45:00.000Z,5.52583136 -0.25368461 34.0 4.0,42,03,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public laterine, door handle",5,---,15,2,40,1,---,"Numerous flies, wet floors","MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-40321eeaaabd64e61a256a409c755202,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-31 10:46:58,2016-03-31 10:44:57,test,2016-06-03 16:52:15,---,---
192,961576dd-636b-48c8-8399-b2f829b8a753,860,860,---,1,S,---,---,1,2016-03-22,09:25:00.000Z,5.52337619 -0.25436425 23.0 5.0,0,NA,Shiabu,---,---,---,---,1,1,2,4,0,1,0,0,1,5,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"Bert Boi, Mario, Christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-44f57abf5469e4a8ddba55a0e08c8f26,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-22 09:31:08,2016-03-22 09:22:57,test,2016-03-23 08:49:34,---,---
193,98da5901-f980-4e8a-a976-e7a0eee60e9c,470,470,---,1,P,1,---,---,2016-06-27,10:34:00.000Z,5.57097736 -0.18895915 62.0 5.0,470,WRI 4,Ringway,---,---,---,---,3,1,1,1,0,0,0,0,0,---,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Drain choked and overflowing, pieces of trash within 3m of overflowing drain","MC,CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-b1fd61fd0d0d470d2d2ba03e4be1d9cf,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-27 10:46:51,2016-06-27 10:32:39,mchrisk,2016-06-27 10:46:59,---,---
194,9792c4d6-d800-4847-a82a-75dcab1dfc31,726,726,---,7,---,---,---,---,2016-04-27,13:13:00.000Z,5.52942786 -0.2437074 39.0 7.0,8114,SP 3,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,0,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-efc74f41580f4838b889632b9d95dd7c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 13:13:55,2016-04-27 13:12:31,mchrisk,2016-04-27 13:13:59,---,---
195,9a60f629-b23d-405c-823a-1678fa71578f,607,607,---,7,---,---,---,---,2016-07-21,10:15:00.000Z,5.57534886 -0.21221554 45.0 5.0,607,WRI 0,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,9999,0,---,Swabbed latrine walls and door handle,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-d2a33ed290f577c767d4596a750372c8,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-07-21 10:17:15,2016-07-21 10:15:18,bnbboye,2016-07-21 14:17:49,---,---
196,a807b0dc-9bcf-4ae4-8318-88360e0a26c4,468,468,---,3,---,---,---,---,2016-07-04,11:25:00.000Z,5.5787218 -0.20450165 45.0 5.0,468,WRI 4,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.04,0.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Sample collected from a plastic hose,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-1c1bcd3c3f63b6900a59ae94ea5eafed,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 11:31:50,2016-07-04 11:24:43,mchrisk,2016-07-04 11:32:03,---,---
197,a8722771-0275-4217-89d4-03ad4596bb30,557,557,---,1,S,---,---,18,2016-07-18,14:50:00.000Z,5.57669607 -0.20625207 44.0 5.0,557,WRI 3,Kokomlemle,---,---,---,---,1,1,2,1,0,0,0,0,1,2,0,0,1,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-0b217f88719ecea0efb66cb80fb709ca,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-18 14:53:33,2016-07-18 14:50:11,rkuddy,2016-07-18 14:53:53,---,---
198,a8fb8e6f-5642-4631-9f2a-4210487e5daa,181,181,---,8,---,---,---,---,2016-05-11,09:53:00.000Z,5.52583157 -0.25178511 20.0 4.0,181,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,60,Pieces of trash on soil,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-d4a6bda2246852724e98d3c642cf63f4,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-11 09:57:31,2016-05-11 09:53:07,cafrimpong,2016-06-03 17:11:56,---,---
199,abdb5ccc-1342-46c2-897a-214985993417,319,319,---,8,---,---,---,---,2016-06-10,11:35:00.000Z,5.56163685 -0.2121155 26.0 5.0,319,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,Within 3m of open drain and food vendor,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-75710d5aebac97cc586039bfdbb41363,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-10 11:37:34,2016-06-10 11:34:12,bnbboye,2016-06-10 11:39:26,---,---
200,abf4809f-37e9-40b6-bf14-143c1740168d,891,891,---,7,---,---,---,---,2016-03-31,10:35:00.000Z,5.5252315 -0.25407865 24.0 4.0,36,03,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public laterine, stall door handle",5,---,5,0,9999,1,---,NA,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-410c0c73f60a99381375ad3dcedcfda5,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-31 10:36:47,2016-03-31 10:34:58,test,2016-06-03 16:52:09,---,---
